상호명,구분,주소,회차
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1023
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1023
대한유통,자동,울산 북구 박상진11로 1 1층112호,1023
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1023
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1023
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1023
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1023
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1023
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1023
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1023
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1023
목화휴게소,자동,경남 사천시 사천대로 912 ,1023
신세계,자동,제주 제주시 고마로14길 7 ,1023
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1024
로또 명당,자동,대구 동구 화랑로75길 69 ,1024
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1024
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1024
대한유통,자동,울산 북구 박상진11로 1 1층112호,1024
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1024
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1024
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1024
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1024
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1024
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1024
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1024
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1024
목화휴게소,자동,경남 사천시 사천대로 912 ,1024
신세계,자동,제주 제주시 고마로14길 7 ,1024
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1025
로또 명당,자동,대구 동구 화랑로75길 69 ,1025
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1025
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1025
대한유통,자동,울산 북구 박상진11로 1 1층112호,1025
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1025
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1025
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1025
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1025
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1025
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1025
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1025
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1025
목화휴게소,자동,경남 사천시 사천대로 912 ,1025
신세계,자동,제주 제주시 고마로14길 7 ,1025
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1026
로또 명당,자동,대구 동구 화랑로75길 69 ,1026
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1026
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1026
대한유통,자동,울산 북구 박상진11로 1 1층112호,1026
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1026
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1026
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1026
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1026
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1026
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1026
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1026
