,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2498,2018,남부,하남시,인구밀도면적 (㎢),소계,93.0
2499,2018,남부,용인시,세대수 (세대),소계,390137.0
2500,2018,남부,용인시,등록인구 (명),소계,1053522.0
2501,2018,남부,용인시,등록인구 (명),남자,524661.0
2502,2018,남부,용인시,등록인구 (명),여자,528861.0
2503,2018,남부,용인시,한국인 (명),소계,1035126.0
2504,2018,남부,용인시,한국인 (명),남자,514127.0
2505,2018,남부,용인시,한국인 (명),여자,520999.0
2506,2018,남부,용인시,외국인 (명),소계,18396.0
2507,2018,남부,용인시,외국인 (명),남자,10534.0
2508,2018,남부,용인시,외국인 (명),여자,7862.0
2509,2018,남부,용인시,세대당 인구 (명),소계,2.65
2510,2018,남부,용인시,65세이상 고령자 (명),소계,125266.0
2511,2018,남부,용인시,65세이상 고령자 (명),한국인,125066.0
2512,2018,남부,용인시,65세이상 고령자 (명),외국인,200.0
2513,2018,남부,용인시,평균연령 (세),소계,39.4
2514,2018,남부,용인시,인구밀도 (명/㎢),소계,1782.0
2515,2018,남부,용인시,인구밀도면적 (㎢),소계,591.3
2516,2018,남부,이천시,세대수 (세대),소계,89596.0
2517,2018,남부,이천시,등록인구 (명),소계,221585.0
2518,2018,남부,이천시,등록인구 (명),남자,114415.0
2519,2018,남부,이천시,등록인구 (명),여자,107170.0
2520,2018,남부,이천시,한국인 (명),소계,214206.0
2521,2018,남부,이천시,한국인 (명),남자,109878.0
2522,2018,남부,이천시,한국인 (명),여자,104328.0
2523,2018,남부,이천시,외국인 (명),소계,7379.0
2524,2018,남부,이천시,외국인 (명),남자,4537.0
2525,2018,남부,이천시,외국인 (명),여자,2842.0
2526,2018,남부,이천시,세대당 인구 (명),소계,2.39
2527,2018,남부,이천시,65세이상 고령자 (명),소계,28038.0
2528,2018,남부,이천시,65세이상 고령자 (명),한국인,27988.0
2529,2018,남부,이천시,65세이상 고령자 (명),외국인,50.0
2530,2018,남부,이천시,평균연령 (세),소계,40.5
2531,2018,남부,이천시,인구밀도 (명/㎢),소계,480.0
2532,2018,남부,이천시,인구밀도면적 (㎢),소계,461.4
2533,2018,남부,안성시,세대수 (세대),소계,79805.0
2534,2018,남부,안성시,등록인구 (명),소계,194954.0
2535,2018,남부,안성시,등록인구 (명),남자,101575.0
2536,2018,남부,안성시,등록인구 (명),여자,93379.0
2537,2018,남부,안성시,한국인 (명),소계,183579.0
2538,2018,남부,안성시,한국인 (명),남자,94095.0
2539,2018,남부,안성시,한국인 (명),여자,89484.0
2540,2018,남부,안성시,외국인 (명),소계,11375.0
2541,2018,남부,안성시,외국인 (명),남자,7480.0
2542,2018,남부,안성시,외국인 (명),여자,3895.0
2543,2018,남부,안성시,세대당 인구 (명),소계,2.3
2544,2018,남부,안성시,65세이상 고령자 (명),소계,29385.0
2545,2018,남부,안성시,65세이상 고령자 (명),한국인,29319.0
2546,2018,남부,안성시,65세이상 고령자 (명),외국인,66.0
2547,2018,남부,안성시,평균연령 (세),소계,42.6
2548,2018,남부,안성시,인구밀도 (명/㎢),소계,352.0
2549,2018,남부,안성시,인구밀도면적 (㎢),소계,553.4
2550,2018,남부,김포시,세대수 (세대),소계,166635.0
2551,2018,남부,김포시,등록인구 (명),소계,443019.0
2552,2018,남부,김포시,등록인구 (명),남자,228031.0
2553,2018,남부,김포시,등록인구 (명),여자,214988.0
2554,2018,남부,김포시,한국인 (명),소계,423170.0
2555,2018,남부,김포시,한국인 (명),남자,212410.0
2556,2018,남부,김포시,한국인 (명),여자,210760.0
2557,2018,남부,김포시,외국인 (명),소계,19849.0
2558,2018,남부,김포시,외국인 (명),남자,15621.0
2559,2018,남부,김포시,외국인 (명),여자,4228.0
2560,2018,남부,김포시,세대당 인구 (명),소계,2.54
2561,2018,남부,김포시,65세이상 고령자 (명),소계,48668.0
2562,2018,남부,김포시,65세이상 고령자 (명),한국인,48532.0
